crop_site_id,farmer_id,village_id,block_id,district_id,state_id,latitude_final,longitude_final,latitude,longitude,timestamp
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-26 22:48:13.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-04-11 00:33:21.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-04-05 05:03:05.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-04-07 00:04:27.999
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-22 22:43:00.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-18 23:58:00.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,,,2017-04-15 04:55:23.392
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-04-12 23:57:52.999
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-05 00:00:00.000
1,105820.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-25 03:17:50.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-20 23:58:59.999
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-11 22:58:47.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-02 22:56:00.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-02 22:57:59.999
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-07 01:15:00.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-04-10 23:08:25.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-02 01:17:05.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-19 23:25:29.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-05 01:50:59.999
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-09 00:29:12.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-11-28 00:33:00.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-16 00:35:00.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-08 23:51:45.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-04-05 02:45:56.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-17 01:20:00.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-03 22:39:35.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-03-02 23:15:17.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-03-27 22:43:25.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-03-13 02:09:32.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-21 00:13:54.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-21 00:43:20.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-16 00:24:05.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-03 22:44:24.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-31 00:10:01.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-11-21 01:38:00.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-21 00:00:00.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-03 23:31:44.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-09 00:22:41.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-23 22:40:00.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-10 00:08:59.999
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-02 01:17:41.999
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-16 23:09:46.999
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-18 23:41:00.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-18 23:39:59.999
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-30 01:47:18.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-28 23:55:00.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-11-21 01:34:59.999
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-26 01:09:00.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-03-29 00:23:19.999
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-07 02:00:43.999
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-14 22:57:47.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-03-24 00:01:11.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-10 00:07:00.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-03-27 22:42:12.999
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-11-29 23:19:00.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-04-05 02:44:41.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-11-28 00:39:00.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-28 22:46:40.000
3,105821.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-23 22:38:00.000
